Street,Town,Age,Month/Year,G1,G1
Hastings Street,Plymouth,38,Apr-19,,
Mayflower Street,Plymouth,33,Jun-19,,
Courtney Street,Plymouth,44,Jun-19,,
,,25,Jun-19,246137,246137
,,21,May-19,250170,250170
,,40,May-19,248499,248499
,,47,Apr-19,248607,248607
,,17,Mar-19,251536,251536
,,18,Mar-19,251526,251526
,,31,May-19,245851,245851
,,39,May-19,249005,249005
,,31,Aug-19,254042,254042
,,26,Aug-19,254084,254084
Friars Lane,Plymouth,53,Aug-19,,
,,27,Jul-19,248065,248065
Lambhay Hill,Plymouth,55,Aug-19,,
,,27,Jul-19,0,0
,,29,Sep-19,0,0
,,26,Sep-19,296102,296102
,,55,Jun-19,245637,245637
St Leo Place Stoke,Plymouth,46,Aug-19,,
South Hill Stoke,Plymouth,50,Aug-19,,
,,25,Mar-19,248186,248186
,,25,Apr-19,248168,248168
White Friars Lane,Plymouth,37,May-19,,
,,20,Jun-19,249559,249559
North Road West,Plymouth,25,Jun-19,,
,,50,Aug-19,248180,248180
Cromartie Road,Plymouth,25,Aug-19,,
Kneele Gardens,Plymouth,36,Sep-19,,
Kneele Gardens,Plymouth,21,Sep-19,,
Ponsaby Road,Plymouth,42,Jun-19,,
,,19,Apr-19,254032,254032
Mutley Plain,Plymouth,48,Mar-19,,
,,13,Mar-19,247750,247750
,,26,May-19,248058,248058
,,21,May-19,250690,250690
,,29,Aug-19,248327,248327
,,30,Mar-19,248557,248557
Granby Way,Plymouth,34,Mar-19,,
,,16,Jul-19,245350,245350
Riverside Walk,Plymouth,30,Aug-19,,
,,15,Mar-19,247932,247932
,,20,Sep-19,248242,248242
,,22,Apr-19,0,0
,,37,Jul-19,61660,61660
,,29,Jul-19,248461,248461
Whitehaven Way,Plymouth,39,Aug-19,,
Cecil Street,Plymouth,31,Apr-19,,
St Mary's Sreet,Plymouth,34,Apr-19,,
Armada Way,Plymouth,33,Apr-19,,
,,41,May-19,247032,247032
Whitleigh Green,Plymouth,35,May-19,,
,,15,Jul-19,248460,248460
Francis Street,Plymouth,33,Jul-19,,
Seagrave Road,Plymouth,39,Aug-19,,
Quay Road,Plymouth,29,Aug-19,,
,,20,Aug-19,247550,247550
North Road West,Plymouth,31,Aug-19,,
Ebrington Street,Plymouth,22,Sep-19,,
Ebrington Street,Plymouth,17,Sep-19,,
,,27,Sep-19,246523,246523
,,18,Sep-19,248152,248152
,,25,Apr-19,248193,248193
Derriford Road,Plymouth,46,May-19,,
,,14,Jun-19,248169,248169
,,17,Jun-19,248158,248158
,,25,May-19,0,0
,,47,Jun-19,248506,248506
,,32,Mar-19,248203,248203
,,37,Apr-19,247716,247716
,,16,Apr-19,248194,248194
,,36,Jul-19,248225,248225
Bath Street,Plymouth,66,Jul-19,,
,,18,Jul-19,252249,252249
,,18,Jul-19,247638,247638
Courtenay Street,Plymouth,40,Jul-19,,
,,56,Jul-19,247177,247177
,,14,Sep-19,248012,248012
Sherwell,Plymouth,50,Apr-19,,
Norwich Avenue,Plymouth,26,Aug-19,,
The Parade,Plymouth,32,Jun-19,,
,,38,Jul-19,247205,247205
,,23,Sep-19,248188,248188
St Marys Street,Plymouth,18,Sep-19,,
,,36,May-19,247360,247360
,,27,May-19,249285,249285
,,38,Sep-19,249452,249452
Armada Way,Plymouth,35,Apr-19,,
Armada Way,Plymouth,25,Apr-19,,
,,39,Apr-19,248181,248181
Bowers Road,Plymouth,32,Aug-19,,
,,23,Sep-19,248188,248188
,,31,Jun-19,248171,248171
Western Approach,Plymouth,33,Apr-19,,
,,39,Jul-19,248107,248107
,,37,Mar-19,248584,248584
,,50,Mar-19,247202,247202
,,18,Apr-19,248347,248347
,,45,Apr-19,247280,247280
New George St,Plymouth,36,Jun-19,,
,,35,Jun-19,249584,249584
,,25,Aug-19,249269,249269
,,20,Aug-19,249289,249289
Raleigh Street,Plymouth,25,Sep-19,,
Western Approach,Plymouth,43,Sep-19,,
,,16,Apr-19,248997,248997
,,26,Apr-19,246951,246951
Gilbert Road,Newton Abbot,34,Apr-19,,
,,48,May-19,246189,246189
Maristow Avenue,Plymouth,26,May-19,,
Embankment Road,Plymouth,15,May-19,,
,,35,Jun-19,245392,245392
Parade Road,Plymouth,49,Jun-19,,
,,35,Jun-19,248654,248654
,,29,Jun-19,245203,245203
Hotham Place,Plymouth,32,Jun-19,,
,,53,Jul-19,246978,246978
,,46,Jul-19,248517,248517
Budshead Road,Plymouth,29,Jul-19,,
,,16,Aug-19,246935,246935
,,45,Mar-19,247914,247914
,,34,Mar-19,248517,248517
,,39,Mar-19,247606,247606
Marlborough Street,Plymouth,27,Mar-19,,
Derriford Road,Plymouth,25,Mar-19,,
,,29,Jul-19,157,157
,,22,Jul-19,247723,247723
,,35,Aug-19,248904,248904
Stoke Village,Plymouth,46,Aug-19,,
Cumberland street,Plymouth,46,Sep-19,,
Derriford Road,Plymouth,51,Sep-19,,
,,42,Mar-19,247524,247524
,,52,Apr-19,247681,247681
,,28,Sep-19,247084,247084
,,21,Mar-19,248180,248180
,,22,Mar-19,247116,247116
,,26,Apr-19,249408,249408
,,39,Aug-19,249277,249277
Neswick Street,Plymouth,40,Apr-19,,
,,23,May-19,248205,248205
,,25,Mar-19,245870,245870
,,16,Jul-19,245288,245288
George Street,Devenport,41,Aug-19,,
Main Street,Plymouth,44,Sep-19,,
EXETER STREET,PLYMOUTH,40,Sep-19,,
,,36,Jun-19,0,0
,,17,Apr-19,247876,247876
,,33,Apr-19,245646,245646
,,36,May-19,245278,245278
Boons Place,Plymouth,23,Apr-19,,
,,16,Apr-19,248177,248177
White Friars Lane,Plymouth,46,May-19,,
,,23,Jun-19,247131,247131
,,23,Jul-19,248189,248189
,,33,Apr-19,248202,248202
North Road West,PLYMOUTH,21,Apr-19,,
,,45,May-19,248214,248214
,,47,May-19,248224,248224
,,22,Jun-19,248139,248139
,,18,Jul-19,252273,252273
Mount Gould Road,PLYMOUTH,13,Jul-19,,
UNION ST PLYMOUTH PL1 3HP,PLYMOUTH,26,Sep-19,,
,,28,Sep-19,249924,249924
,,26,May-19,246332,246332
,,50,Jun-19,248539,248539
Lofoten Close,Plymouth,39,Jun-19,,
,,32,Apr-19,247023,247023
,,17,Apr-19,250674,250674
Gifford Place,Plymouth,19,Jul-19,,
,,48,Jul-19,248139,248139
,,34,Apr-19,248337,248337
,,30,Sep-19,246385,246385
Castle Street,Truro,41,May-19,,
,,42,Jun-19,248451,248451
,,15,Jul-19,248549,248549
Herbert Street,Plymouth,40,Sep-19,,
,,14,May-19,248531,248531
,,24,Aug-19,252209,252209
,,44,Aug-19,54535,54535
Budshead Road,Plymouth,26,Jul-19,,
,,31,Aug-19,248518,248518
,,17,May-19,248178,248178
WESTON MILL FARM,Plymouth,17,May-19,,
WESTON MILL FARM,Plymouth,21,May-19,,
,,16,May-19,248181,248181
WESTON MILL FARM,Plymouth,19,May-19,,
WESTON MILL FARM,Plymouth,16,May-19,,
WESTON MILL FARM,Plymouth,19,May-19,,
WESTON MILL FARM,Plymouth,17,May-19,,
WESTON MILL FARM,Plymouth,17,May-19,,
UNION STREET,Plymouth,25,Aug-19,,
FORE STREET,Plymouth,31,Sep-19,,
King Street,Plymouth,26,May-19,,
King Street,Plymouth,40,Sep-19,,
King Street,Plmyouth,44,Sep-19,,
,,32,Sep-19,247568,247568
,,19,Mar-19,248228,248228
,,16,Mar-19,248171,248171
,,55,Sep-19,248532,248532
,,23,May-19,247959,247959
,,17,Mar-19,247333,247333
,,16,Apr-19,246047,246047
Cecil Street,Plymouth,34,Apr-19,,
,,50,Apr-19,247292,247292
,,42,May-19,0,0
,,24,Jul-19,246793,246793
